sentence,logit_score
Even that opportunity will not be available to the High Court if it is held that the State Legislature can enact the law of reservation and make it automatically applicable to the Judicial Service bypassing the High Court completely.,0.965710461139679
"Perusal of the file shows that a counter affidavit was filed by respondent No. 2 under index dated 17. 05. 2000, wherein the impugned order dated 27. 10. 1999 was sought to be supported.",0.9381054043769836
The decision in R v Spencer287 (2014) was related to informational privacy.,0.9330921173095703
The further details of the chapter are not necessary for our purpose.,0.9602349996566772
"Apprehension, however, legitimate it may be, cannot override the justification of the project. Nobody on this earth can predict what would happen in future and to a larger extent we have to leave it to the destiny.",0.9336301684379578
"But once the justification test is satisfied, the apprehension test is bound to fail. Apprehension is something we anticipate with anxiety or fear, a fearful anticipation, which may vary from person to person.",0.9610904455184937
"Power generation through a nuclear plant set up after following all safety standards, rules and regulations, is for the welfare of the people and for the economic growth of the country, which is the object and purpose of the Atomic Energy Act.",0.9581774473190308
"In Umadevi (3) case [(2006) 4 SCC 1 : 2006 SCC (L&S) 753] this Court held that the courts are not expected to issue any direction for absorption/regularisation or permanent continuance of temporary, contractual, casual, daily wage or ad hoc employees.",0.9412714242935181
"Under the Mahomedan Law applicable in India, title to a mosque can be lost by adverse possession (See Mulla's Principles of Mahomedan Law, 19th Edn. by M. Hidayatullah - Section 217 and AIR 1940 PC 1.16).",0.9527029991149902
"The learned Judge of the Gujarat High Court relied upon the decision of the Supreme Court in E.V. Chinnaiah v. State of Andhra Pradesh [(2005) 1 SCC 394], to come to the conclusion that he did.",0.8438541293144226
"In a series of judgments commencing from E.P.Royappa v. State of T.N. [(1974) 4 SCC 3: 1974 SCC (L&S) 165], the orientation of this Court in dealing with Article 14 has been dynamic.",0.9529733657836914
"In paragraph 66 of Larsen & Toubro Ltd. (supra), it was observed that in Bharat Sanchar (supra), this Court reiterated what was stated earlier in Associated Cement Companies Ltd. vs. Commissioner of Customs (2001) 4 SCC 593 that ‘Dominant Nature Test’ has no application to a composite transaction covered by the Clauses of Article 366(29A).",0.9422767162322998
"Shri Hansaria submits that judgments of this Court in Assam Small Scale Industries Development Corp. Ltd. and others vs. J.D. Pharmaceuticals and another, (2005) 13 SCC 19, Shakti Tubes Ltd. vs. State of Bihar and others, (2009) 7 SCC 673, Modern Industries vs. Steel Authority of India Limited, (2010) 5 SCC 44, as well as judgment of this Court in Purbanchal Cables and Conductors Private Limited (supra) having held that Act has no applicability with regard to contracts entered into prior to enforcement of Act, the said law which is a settled law for a quite long time need not be unsettled by this Court.",0.9303763508796692
"Recently, in the cases of State of Madhya Pradesh vs. Bablu, (2014) 9 SCC 281 and State of Madhya Pradesh vs. Surendra Singh, 2014 (12) SCALE 672, after considering and following the earlier decisions, this Court reiterated the settled proposition of law that one of the prime objectives of criminal law is the imposition of adequate, just, proportionate punishment which commensurate with gravity, nature of crime and the manner in which the offence is committed.",0.9520124197006226
"High Court referred to the judgment of this Court in Fakhruddin v. State of M.P., AIR 1967 SC 1326, in support of this conclusion.",0.9336556196212769
"Pursuant to the judgment of this Court in Vishaka vs. State of Rajasthan, (1997) 6 SCC 241, international covenants to which India is a party are a part of domestic law unless they are contrary to a specific law in force.",0.9620224833488464
"The learned senior counsel placed reliance reported in Union of India & Ors. v. O. Chakradhar - (2002) 3 SCC 146, Krishan Yadav (supra) and Bharat Singh (supra) in support of his submissions.",0.8300895690917969
"He would further explain the term “manufacture” in context of the Act and draw support from the decisions of this Court in, inter alia, Sterling Foods v. State of Karnataka, (1986) 3 SCC 469 and CST v. Pio Food Packers, 1980 Supp SCC 174 and submit that that the essential feature of “manufacturing” is the utilization of original commodity and its transformation into a different commodity wherein the original article stands distinguished from the end product as an entirely different commodity and since the aforesaid is not the case herein, the process of transformation of cotton into surgical cotton would not be a manufacture for the levy of tax under the Act and therefore, the High Court has erroneously dismissed the case of appellants confirming the levy of tax on surgical cotton under the Act.",0.9430763125419617
"The first decision is the M/s. Patnaik and Company vs. State of Orissa reported in AIR 1965 SC 1655, wherein the principle stated by the High Court was affirmed by the Constitution Bench of this Court.",0.9426252841949463
"However, the decision of this Court in Union of India v. Dipak Mali 2010 (2) SCC 222 does not come to the succour of the Appellant since our inspection of the records produced in original have established that firstly, the decision to continue the suspension was carried out within the then prevailing period and secondly, that it was duly supported by elaborate reasoning.",0.9121261239051819
"The scope of Section 43D(2)(b) of UAP Act, 1967 has been examined recently by a three Judge Bench of this Court in State of Maharashtra Vs. Surendra Pundlik Gadling & Ors. 2019 SCC Online SC 188 and has not detained us any further.",0.9464952945709229
"He pointed out that in the said complaint, it was alleged by Mr. Pundir that he, his wife, his daughter Mrs. Neelam Bhatti and her husband Col. V.S. Bhatti meted out atrocious treatment thereby causing them mental 2 (2009) 2 SCC 570 3 1994 Supp (2) SCC 391 torture, humiliation and harrassment.",0.8485694527626038
"Thus, in whichever way may be viewed, whether as setting up the standards of “patentability or as an extension of the definition of “invention , it must be held that on the basis of the materials brought before this Court, the subject product, that is, the beta crystalline form of Imatinib Mesylate, fails the test of section 3(d), too, of the Act.",0.9574254155158997
Consequently the 99th Amendment does not fall foul of the basic structure of the Constitution.,0.9594643115997314
The decision supports the principle that the incurring of expenses for reconstruction and restoration of places of worship damaged in violence would not be in violation of Article 27 of the Constitution of India.,0.9591572284698486
"In the case of inventions – a) claiming substances intended for the use, or capable of being used, as food or as medicine or drug, or b) relating to substances prepared or produced by chemical processes (including alloys, optical glass, semi-conductors and inter-metallic compounds), no patent shall be granted in respect of claims for the substances themselves, but claims for the methods of processes of manufacture shall be patentable.",0.956979513168335
"III) The demand of 10 sovereign gold ornaments by the appellant from the parents of deceased Shanthi had been revealed in the depositions of Sundaresh (PW.1), Manimaran (PW.2) and Sakkubai (PW.6).",0.9498130083084106
"In view of the above Scheme being offered, all the parties agree that: a) with the terms of the Scheme all liabilities of the Deposit Holders and Bond holders shall be deemed as fully discharged.",0.9280712604522705
"Be that as it may, even assuming that it was a plea in the statement recorded under CrPC that he had written the letters being pressurized by the police, the said stand does not deserve to be accepted on two grounds, namely, i) he had not made that allegation when the letters were shown to him by the Additional Chief Judicial Magistrate, PW-11, and in fact he had admitted the correctness of the letters and ii) that in the cross-examination of the witnesses barring a bald question to PW-12, nothing has been put with regard to the letters.",0.9344110488891602
"A-14) Confessional statement of A-14 under Section 15 of TADA has been recorded on 15.04.1993 (17:55 hrs.) and 17.04.1993 (19:30 hrs.) by Shri Krishan Lal Bishnoi (PW-193), the then DCP, Zone III, Bombay.",0.9310663342475891
"We do not have the sufficient time to dispose of the matter today, we think that, 1) all the individuals who seek to construct their houses within 2 ½ floors’ range as indicated in the judgment of this Court, they are liberty to file plans before the competent Authority.",0.3810935318470001
"Nuclear energy assumes as an important element in India’s energy mix for sustaining economic growth of natural and domestic use which in future has to replace a significant part of fossil fuel like coal, oil, gas etc.",0.7058049440383911
"Electricity is the heart and soul of modern life, a life meant not for the rich and famous alone but also for the poor and down trodden.",0.9524049758911133
